ECONOMIC_DATA	経済データ
REMOVE_STUCK_DESCRIPTION	スタックした市民と車両を自動的に削除 (パフォーマンスに少し影響有り)
REMOVE_STUCK_ENABLE	スタックした市民と車両を削除を有効化
BASIC_SETTING	基本設定
SPTB	SPTB機能
SMART_PUBLIC_TRANSPORT_BUDGET_WEEKDAY	効率的な公共交通の予算 (平日)
SMART_PUBLIC_TRANSPORT_BUDGET_WEEKEND	効率的な公共交通の予算 (週末)
WEEKDAY_MORNING_BUDGET	平日朝の予算 (8～10)
WEEKDAY_EVENING_BUDGET	平日夕方の予算 (17～19)
WEEKDAY_DEEPNIGHT_BUDGET	平日深夜の予算 (0～4)
WEEKDAY_OTHER_BUDGET	平日その他の予算
WEEKEND_MORNING_BUDGET	週末朝の予算 (8～10)
WEEKEND_EVENING_BUDGET	週末夕方の予算 (17～19)
WEEKEND_DEEPNIGHT_BUDGET	週末深夜の予算 (0～4)
WEEKEND_OTHER_BUDGET	週末その他の予算
WeekDayPlan	平日の案
WeekEndPlan	週末の案
NoPlan	計画無し
TLMRUNNING	Transport Line Managerが動作中かReal Timeが実行していない場合は、SPTB機能が無効です。
TLMNOTRUNNING	Transport Line Managerが動作していないので、SPTB機能を使用可能です。
MAX_MORNING_BUDGET	朝の最大予算 (8～10)
MAX_EVENING_BUDGET	夕方の最大予算 (17～19)
MAX_DEEPNIGHT_BUDGET	深夜の最大予算 (0～4)
MAX_OTHER_BUDGET	その他の最大予算
MIN_MORNING_BUDGET	朝の最小予算 (8～10)
MIN_EVENING_BUDGET	夕方の最小予算 (17～19)
MIN_DEEPNIGHT_BUDGET	深夜の最小予算 (0～4)
MIN_OTHER_BUDGET	その他の最小予算
MaxPlan	最大の案
MinPlan	最小の案
SPTB2	SPTB機能2
SMART_PUBLIC_TRANSPORT_BUDGET_MAX	効率的な公共交通の予算 (最大)
SMART_PUBLIC_TRANSPORT_BUDGET_MIN	効率的な公共交通の予算 (最小)
RESET_VALUE	リセットキー
