ECONOMIC_DATA	Экономическая статистика
RIGHT_UNION	(Союз правых)
ALL_UNION	(Коалиция)
NEXT_VOTE	Следующее голосование
CURRENT_MEETING_ITEM	Текущее обсуждение
RISE_RESIDENT_TAX	Повышениен ставки алога для домовладельцев
FALL_RESIDENT_TAX	Снижение ставки налога для домовладельцев
RISE_BENEFIT	Увеличение поддержки малоимущих
FALL_BENEFIT	Сокращение поддержки малоимущих
RISE_COMMERIAL_TAX	Повышение ставки налога для торговых предприятий
FALL_COMMERIAL_TAX	Снижение ставки налога для торговых предприятий
RISE_INDUSTRIAL_TAX	Повышение ставки налога для промышленных предприятий
FALL_INDUSTRIAL_TAX	Сокращение ставки налога для промышленных предприятий
VOTE_RESULT	Результаты голосования
YES	За
NO	Против
NO_ATTEND	Воздержались
CURRENT_POLICY	Текущая финансовая политика
BENEFIT	Минимальный семейный доход
RESIDENT_SALARY_TAX	Ставка подоходного налога
COMMERICAL_TRADE_TAX	Ставка НДС для торговых предприятий
INDUSTRIAL_TRADE_TAX	Ставка НДС для промышленных предприятий
BUILDING_MONEY	Баланс предпрития (в центах)
MATERIAL_BUFFER	Склад сырья
PRODUCTION_BUFFER	Склад продукции
AVERAGE_EMPLOYFEE	Средняя зарплата
BUILDING_LANDRENT	Стоимость аренды земли
PROFIT_SHARING	Распределение прибыли
BUY_PRICE	Средняя цена сырья
SELL_PRICE	Средняя цена продукции
MATERIAL_DIV_PRODUCTION	Коэффициент выхода продукции
SELL_TAX	Налог на добавленную стоимость
PROFIT	Прибыль
EXCLUDE_VISIT_INCOME	(исключая доход посетителей)
FAMILY_STATUS	Состояние семьи
FOOD	Продукты питания
COAL	Уголь
LUMBER	Древесина
PETROL	Нефтепродукты
GRAIN_MEAT	Зерно/Мясо
ORE	Руда
LOG	Лес-кругляк
OIL	Нефть
PREGOODS	Полуфабрикаты
GOODS	Товары
PRICE	Цена
ANIMALPRODUCTS	Животные продукты
FLOURS	Мука
PAPER	Бумага
PLANEDTIMBER	Доски
PETROLEUM	Топливо
PLASTICS	Пластик
GLASS	Стекло
METALS	Металл
LUXURY_PRODUCTS	Предметы роскоши
FAMILY_MONEY	Семейные финансы (в центах)
FAMILY_SALARY	Семейный доход
FAMILY_GOODS  Товары семьи
FAMILY_NEED_GOODS	(Семья нуждается)
INCLUDE_RESOURCE_TAX	(Включая 60% налог на недра)
CAR_USED	Использовано автомобилей
MAINTAIN_FEE_TIPS	Затраты на содержания отображаемые в интерфейсе не включают затраты на транспорт
LOCAL_WORKERS_DIV_TOTAL_WORKERS	Рабочих/ Рабочих мест
TOURIST_MONEY	Транспортный бюджет туриста
SHOW_LACK_OF_RESOURCE	Отображать иконку недосточно ресурсов на коммерческих зданиях когда склад пустой
DEBUG_MODE	Отображать больше информации
REDUCE_CARGO_DESCRIPTION	Сократить количество груза (и для DLC Industries и для зональных зданий)
REDUCE_CARGO_ENABLE	Включить функцию сокращения груза
INCOMPATIBILITY_CHECK_TIP	Модификация RealCity(series) обнаружила несовместимые модификации
REMOVE_STUCK_DESCRIPTION	Auto remove stuck citizen&vehicle(impact performance a little)
REMOVE_STUCK_ENABLE	Remove stuck citizen&vehicle enable
