ECONOMIC_DATA	经济数据
INDUSTRIAL_GENERAL_LAND_INCOME	一般工业地税收入
INDUSTRIAL_FARMING_LAND_INCOME	农业地税收入
INDUSTRIAL_FORESTY_LAND_INCOME	林业地税收入
INDUSTRIAL_OIL_LAND_INCOME	石油业地税收入
INDUSTRIAL_ORE_LAND_INCOME	矿业地税收入
OFFICE_GENERAL_LAND_INCOME	一般办公区地税收入
OFFICE_HIGH_TECH_LAND_INCOME	高科技办公区地税收入
CITY_TRADE_INCOME_TITLE	4、城市交易税收入
COMMERICAL_HIGH_TRADE_INCOME	高密度商业交易税收入
COMMERICAL_LOW_TRADE_INCOME	低密度商业交易税收入
COMMERICAL_ECO_TRADE_INCOME	娱乐商业交易税收入
COMMERICAL_TOURISM_TRADE_INCOME	旅游商业交易税收入
COMMERICAL_LEISURE_TRADE_INCOME	生态商业交易税收入
INDUSTRIAL_GENERAL_TRADE_INCOME	一般工业交易税收入
INDUSTRIAL_FARMING_TRADE_INCOME	农业交易税收入
INDUSTRIAL_FORESTY_TRADE_INCOME	林业交易税收入
INDUSTRIAL_OIL_TRADE_INCOME	石油业交易税收入
INDUSTRIAL_ORE_TRADE_INCOME	矿业交易税收入
CITY_PUBLIC_TRANSPORT_INCOME_TITLE	5、城市公共交通收入
BUS	公交车
TRAM	有轨电车
TRAIN	火车
SHIP	渡船
PLANE	飞机
METRO	地铁
TAXI	出租车
CABLECAR	缆车
MONORAIL	单轨
CITY_PLAYER_BUILDING_INCOME_TITLE	6、政府建筑收入
ROAD	道路(包括加油站)
GARBAGE	垃圾
SCHOOL	学校
HEALTHCARE	医疗和殡葬
FIRESTATION	消防局
POLICESTATION	警察局
PLAYERINDUSTRY	国营工业
CITY_TOTAL_INCOME_TITLE	7、城市总收入
CITY_INCOME_DATA	城市收入情况(单位:克朗)
PARLIAMENT_HALL	议会大厅
PARLIAMENT_SEATS	议会席位
COMMUNIST	和谐党(你懂的)
GREEN	绿党
SOCIALIST	社会党
LIBERAL	自由党
NATIONAL	国家党
GOVERMENT	执政情况
LEFT_UNION	(左派联合)
WIDE_LEFT_UNION	(左派大联合)
RIGHT_UNION	(右翼联盟)
ALL_UNION	(全民团结政府)
NEXT_VOTE	下次选举时间
CURRENT_MEETING_ITEM	目前审理的议题
RISE_RESIDENT_TAX	升高居民税
FALL_RESIDENT_TAX	降低居民税
RISE_BENEFIT	增加福利
FALL_BENEFIT	降低福利
RISE_COMMERIAL_TAX	增加商业税
FALL_COMMERIAL_TAX	降低商业税
RISE_INDUSTRIAL_TAX	增加工业税
FALL_INDUSTRIAL_TAX	降低工业税
VOTE_RESULT	投票结果
YES	赞成
NO	反对
NO_ATTEND	弃权
CURRENT_POLICY	目前政策
BENEFIT	福利值
RESIDENT_SALARY_TAX	居民个人所得税
COMMERICAL_TRADE_TAX	商业交易税
INDUSTRIAL_TRADE_TAX	工业交易税
BUILDING_MONEY	公司现金流(单位:1/100克朗)
MATERIAL_BUFFER	原料仓库储存量
PRODUCTION_BUFFER	产品仓库储存量
AVERAGE_EMPLOYFEE	员工平均工资(按居民刷新周期算)
BUILDING_LANDRENT	土地费支出
PROFIT_SHARING	分红制(当次)
BUY_PRICE	原料买入平均价格
SELL_PRICE	产品卖出平均价格
MATERIAL_DIV_PRODUCTION	原料产品消耗比
SELL_TAX	卖出收入交易税
PROFIT	买入卖出利润率
EXCLUDE_VISIT_INCOME	(不包括商业访问收入)
FOOD	食物
COAL	矿物
LUMBER	木材
PETROL	汽油
GRAIN_MEAT	谷物或肉
ORE	原矿石
LOG	原木
OIL	原油
PREGOODS	库存商品
GOODS	货架商品
PRICE	价格
ANIMALPRODUCTS	动物制品
FLOURS	面粉
PAPER	纸
PLANEDTIMBER	木板木材
PETROLEUM	石油制品
PLASTICS	塑料
GLASS	玻璃
METALS	金属
LUXURY_PRODUCTS	奢侈消费品
FAMILY_MONEY	居民家庭存款(单位:1/100克朗)
FAMILY_SALARY	居民家庭总工资
FAMILY_GOODS	家里货物量
FAMILY_NEEDS_GOODS	(家里需要购物)
FAMILY_STATUS	家庭状况
INCLUDE_RESOURCE_TAX	(含60%资源税)
CAR_USED	使用中的车辆
MAINTAIN_FEE_TIPS	UI显示的维护费没包括车辆使用费用
LOCAL_WORKERS_DIV_TOTAL_WORKERS	本地工人/全体工人
TOURIST_MONEY	游客身上的交通费
SHOW_LACK_OF_RESOURCE	对卖空的商店显示缺货图标
DEBUG_MODE	更多的信息
